sample;annotation
еглиос-м варено-копченые;[[0, 8, 'B-BRAND'], [9, 24, 'B-TYPE']]
гель grass;[[0, 4, 'B-TYPE'], [5, 10, 'B-BRAND']]
гель synerrgeti;[[0, 4, 'B-TYPE'], [5, 15, 'B-BRAND']]
гель для стирки lmam;[[0, 4, 'B-TYPE'], [5, 8, 'O'], [9, 15, 'O'], [16, 20, 'B-BRAND']]
гель для стирки персид;[[0, 4, 'B-TYPE'], [5, 8, 'O'], [9, 15, 'O'], [16, 22, 'B-BRAND']]
гель ласкф блек;[[0, 4, 'B-TYPE'], [5, 10, 'B-BRAND'], [11, 15, 'I-BRAND']]
гель магяи черного;[[0, 4, 'B-TYPE'], [5, 10, 'B-BRAND'], [11, 18, 'I-BRAND']]
гель порошок олск;[[0, 4, 'B-TYPE'], [5, 12, 'I-TYPE'], [13, 17, 'B-BRAND']]
геркулес яясно солнышко;[[0, 8, 'B-TYPE'], [9, 14, 'B-BRAND'], [15, 23, 'I-BRAND']]
гигатн;[[0, 6, 'B-BRAND']]
гигиеническая прс!;[[0, 13, 'B-TYPE'], [14, 18, 'B-BRAND']]
главпроодукт шпро;[[0, 12, 'B-BRAND'], [13, 17, 'B-TYPE']]
главпроодукт шпрот;[[0, 12, 'B-BRAND'], [13, 18, 'B-TYPE']]
гавхлеб чиабатт;[[0, 7, 'B-BRAND'], [8, 15, 'B-TYPE']]
гавхлеб чиабатта;[[0, 7, 'B-BRAND'], [8, 16, 'B-TYPE']]
голбал;[[0, 6, 'B-BRAND']]
гллория;[[0, 7, 'B-BRAND']]
гллория сосис;[[0, 7, 'B-BRAND'], [8, 13, 'B-TYPE']]
гой;[[0, 3, 'B-BRAND']]
годл;[[0, 4, 'B-BRAND']]
гголден;[[0, 7, 'B-BRAND']]
голланские;[[0, 10, 'B-BRAND']]
голланский;[[0, 10, 'B-BRAND']]
голубцы мясославд;[[0, 7, 'B-TYPE'], [8, 17, 'B-BRAND']]
голубцы панн;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
голубцы пнаи;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
голубцы скф;[[0, 7, 'B-TYPE'], [8, 11, 'B-BRAND']]
голубцы эл;[[0, 7, 'B-TYPE'], [8, 10, 'B-BRAND']]
голубцы эллика;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
огльден;[[0, 7, 'B-BRAND']]
гольфы rif;[[0, 6, 'B-TYPE'], [7, 10, 'B-BRAND']]
гольфы immaig;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
гольфы miim;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
гольфы rodo;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
гольфы pomppe;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
гольфы ssis;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
гольфы siisi;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
гольфы биссо;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
гольфы бисоок;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
городецки баран;[[0, 9, 'B-BRAND'], [10, 15, 'B-TYPE']]
городецки баранк;[[0, 9, 'B-BRAND'], [10, 16, 'B-TYPE']]
горошек greeeno;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
горошек geenol;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
горошек greenla;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
горошек viatla;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
горошек vitala;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
горошек амрк;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
горошек мраке;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
горошек аркет;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
горошек пикаант;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
горошек пиеанта;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
горошек рлмашки;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
горошек ромашккин;[[0, 7, 'B-TYPE'], [8, 17, 'B-BRAND']]
горошек ромшкино;[[0, 7, 'B-TYPE'], [8, 16, 'B-BRAND']]
горчица kkam;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
горчица kaim;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
горчица sipl;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
горчица елчо;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
горчица елочкк;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
горчица елочкаа;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
горчица махеее;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
горчица амхеев;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
горчица маехевъ;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
горчицы sufe;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
горчицы sufee;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
горчицы yeel;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
горчицы eylli;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
горчицы епрекрест;[[0, 7, 'B-TYPE'], [8, 17, 'B-BRAND']]
горчицы перекрусток;[[0, 7, 'B-TYPE'], [8, 19, 'B-BRAND']]
горчицы пррин;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
горчицы прнто;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
горрячая кружка;[[0, 8, 'B-BRAND'], [9, 15, 'I-BRAND']]
граната етнд;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
грфнд;[[0, 5, 'B-BRAND']]
гранулах ecotn;[[0, 8, 'B-TYPE'], [9, 14, 'B-BRAND']]
гранулах сттм;[[0, 8, 'B-TYPE'], [9, 13, 'B-BRAND']]
гранулы ecotn;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
гранулы сттм;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
гренка ffish;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
гренки штрув;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
гренки штуравл;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
грилем poine;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
грилем pioner;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
грилем uuni;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
грилем nit;[[0, 6, 'B-TYPE'], [7, 10, 'B-BRAND']]
грилем vvite;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
грили редммон;[[0, 5, 'B-TYPE'], [6, 13, 'B-BRAND']]
грили ердмонд;[[0, 5, 'B-TYPE'], [6, 13, 'B-BRAND']]
гррин;[[0, 5, 'B-BRAND']]
грингро;[[0, 7, 'B-BRAND']]
гринфидл;[[0, 8, 'B-BRAND']]
груша paapdimitri;[[0, 5, 'B-TYPE'], [6, 17, 'B-BRAND']]
груша ppapadimitrio;[[0, 5, 'B-TYPE'], [6, 19, 'B-BRAND']]
груша ббио;[[0, 5, 'B-TYPE'], [6, 10, 'B-BRAND']]
груша руд барлет;[[0, 5, 'B-TYPE'], [6, 9, 'B-BRAND'], [10, 16, 'I-BRAND']]
груши ppapadimitrio;[[0, 5, 'B-TYPE'], [6, 19, 'B-BRAND']]
груши куулба;[[0, 5, 'B-TYPE'], [6, 12, 'B-BRAND']]
груши кулба;[[0, 5, 'B-TYPE'], [6, 11, 'B-BRAND']]
груши кудбаев;[[0, 5, 'B-TYPE'], [6, 13, 'B-BRAND']]
грюнандер;[[0, 9, 'B-BRAND']]
губка easo;[[0, 5, 'B-TYPE'], [6, 10, 'B-BRAND']]
губка seasn;[[0, 5, 'B-TYPE'], [6, 11, 'B-BRAND']]
губка читюл;[[0, 5, 'B-TYPE'], [6, 11, 'B-BRAND']]
губка чистюял;[[0, 5, 'B-TYPE'], [6, 13, 'B-BRAND']]
губки univeersal;[[0, 5, 'B-TYPE'], [6, 16, 'B-BRAND']]
губки для мытья посуды libehouse;[[0, 5, 'B-TYPE'], [6, 9, 'O'], [10, 15, 'O'], [16, 22, 'O'], [23, 32, 'B-BRAND']]
губок rpima;[[0, 5, 'B-TYPE'], [6, 11, 'B-BRAND']]
губок prima;[[0, 5, 'B-TYPE'], [6, 11, 'B-BRAND']]
губок priimani;[[0, 5, 'B-TYPE'], [6, 14, 'B-BRAND']]
губок vlaian;[[0, 5, 'B-TYPE'], [6, 12, 'B-BRAND']]
губок valiat;[[0, 5, 'B-TYPE'], [6, 12, 'B-BRAND']]
губок епрекрест;[[0, 5, 'B-TYPE'], [6, 15, 'B-BRAND']]
гудм;[[0, 4, 'B-BRAND']]
гуррме имби;[[0, 6, 'B-BRAND'], [7, 11, 'B-TYPE']]
гуррме имбир;[[0, 6, 'B-BRAND'], [7, 12, 'B-TYPE']]
гурмшкс;[[0, 7, 'B-BRAND']]
валматово конф;[[0, 9, 'B-BRAND'], [10, 14, 'B-TYPE']]
валматово конфе;[[0, 9, 'B-BRAND'], [10, 15, 'B-TYPE']]
даанат;[[0, 6, 'B-BRAND']]
даниловвский;[[0, 12, 'B-BRAND']]
дфнис;[[0, 5, 'B-BRAND']]
дансиимо;[[0, 8, 'B-BRAND']]
даанисси;[[0, 8, 'B-BRAND']]
данссим;[[0, 7, 'B-BRAND']]
дариад;[[0, 6, 'B-BRAND']]
далринг;[[0, 7, 'B-BRAND']]
драница;[[0, 7, 'B-BRAND']]
драница було;[[0, 7, 'B-BRAND'], [8, 12, 'B-TYPE']]
дарнцикий бат;[[0, 9, 'B-BRAND'], [10, 13, 'B-TYPE']]
дарнцикий бато;[[0, 9, 'B-BRAND'], [10, 14, 'B-TYPE']]
даэлл ошейник;[[0, 5, 'B-BRAND'], [6, 13, 'B-TYPE']]
даэлл перенос;[[0, 5, 'B-BRAND'], [6, 13, 'B-TYPE']]
дашиак;[[0, 6, 'B-BRAND']]
дезйик;[[0, 6, 'B-BRAND']]
делатшка сардин;[[0, 8, 'B-BRAND'], [9, 15, 'B-TYPE']]
делатшка сардина;[[0, 8, 'B-BRAND'], [9, 16, 'B-TYPE']]
деатин;[[0, 6, 'B-BRAND']]
деликаат чип;[[0, 8, 'B-BRAND'], [9, 12, 'B-TYPE']]
деликаат чипс;[[0, 8, 'B-BRAND'], [9, 13, 'B-TYPE']]
десерт пшно калада;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND'], [12, 18, 'I-BRAND']]
детское фрруто няня;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND'], [15, 19, 'I-BRAND']]
джни;[[0, 4, 'B-BRAND']]
джин abosl;[[0, 4, 'B-TYPE'], [5, 10, 'B-BRAND']]
джин absout;[[0, 4, 'B-TYPE'], [5, 11, 'B-BRAND']]
джин nnemirof;[[0, 4, 'B-TYPE'], [5, 13, 'B-BRAND']]
джин дадо;[[0, 4, 'B-TYPE'], [5, 9, 'B-BRAND']]
джин лдаог;[[0, 4, 'B-TYPE'], [5, 10, 'B-BRAND']]
джин лаадога;[[0, 4, 'B-TYPE'], [5, 12, 'B-BRAND']]
диланесс студ;[[0, 8, 'B-BRAND'], [9, 13, 'B-TYPE']]
диланесс студн;[[0, 8, 'B-BRAND'], [9, 14, 'B-TYPE']]
дино;[[0, 4, 'B-BRAND']]
диски aset;[[0, 5, 'B-TYPE'], [6, 10, 'B-BRAND']]
диски asterr;[[0, 5, 'B-TYPE'], [6, 12, 'B-BRAND']]
диски boodyar;[[0, 5, 'B-TYPE'], [6, 13, 'B-BRAND']]
диски saffi;[[0, 5, 'B-TYPE'], [6, 11, 'B-BRAND']]
диски safir;[[0, 5, 'B-TYPE'], [6, 11, 'B-BRAND']]
диффузор bols;[[0, 8, 'B-TYPE'], [9, 13, 'B-BRAND']]
диффузор olsiu;[[0, 8, 'B-TYPE'], [9, 14, 'B-BRAND']]
диффузор bolsisu;[[0, 8, 'B-TYPE'], [9, 16, 'B-BRAND']]
диффузор gl;[[0, 8, 'B-TYPE'], [9, 11, 'B-BRAND']]
диффузор efa;[[0, 8, 'B-TYPE'], [9, 12, 'B-BRAND']]
диффузор lefadr;[[0, 8, 'B-TYPE'], [9, 15, 'B-BRAND']]
дмитровкий твор;[[0, 10, 'B-BRAND'], [11, 15, 'B-TYPE']]
дмитровкий творо;[[0, 10, 'B-BRAND'], [11, 16, 'B-TYPE']]
добррогост са;[[0, 10, 'B-BRAND'], [11, 13, 'B-TYPE']]
добррогост сал;[[0, 10, 'B-BRAND'], [11, 14, 'B-TYPE']]
дободел варени;[[0, 7, 'B-BRAND'], [8, 14, 'B-TYPE']]
дободел вареник;[[0, 7, 'B-BRAND'], [8, 15, 'B-TYPE']]
доброфллт;[[0, 9, 'B-BRAND']]
дбрые трес;[[0, 5, 'B-BRAND'], [6, 10, 'B-TYPE']]
дбрые треск;[[0, 5, 'B-BRAND'], [6, 11, 'B-TYPE']]
добррый апельсин;[[0, 7, 'B-BRAND'], [8, 16, 'B-TYPE']]
дома dalaan;[[0, 4, 'O'], [5, 11, 'B-BRAND']]
домесьес;[[0, 8, 'B-BRAND']]
домесотм;[[0, 8, 'B-BRAND']]
домесотс;[[0, 8, 'B-BRAND']]
дмоик в д;[[0, 5, 'B-BRAND'], [6, 7, 'I-BRAND'], [8, 9, 'I-BRAND']]
дмоик в дере;[[0, 5, 'B-BRAND'], [6, 7, 'I-BRAND'], [8, 12, 'I-BRAND']]
донн крутон;[[0, 4, 'B-BRAND'], [5, 11, 'I-BRAND']]
дощирк;[[0, 6, 'B-BRAND']]
драже cconf;[[0, 5, 'B-TYPE'], [6, 11, 'B-BRAND']]
драже ocnfi;[[0, 5, 'B-TYPE'], [6, 11, 'B-BRAND']]
драже confli;[[0, 5, 'B-TYPE'], [6, 12, 'B-BRAND']]
драже ic tac;[[0, 5, 'B-TYPE'], [6, 8, 'B-BRAND'], [9, 12, 'I-BRAND']]
драже мк;[[0, 5, 'B-TYPE'], [6, 8, 'B-BRAND']]
дрм;[[0, 3, 'B-BRAND']]
дримс;[[0, 5, 'B-BRAND']]
дршмис;[[0, 6, 'B-BRAND']]
вримс;[[0, 5, 'B-BRAND']]
дрожжи dr.baer;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
дрожжи dr.oek;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
дрожжи noord;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
дрожжи nordii;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
дрожжи noridc;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
дубфйск;[[0, 7, 'B-BRAND']]
дубаски;[[0, 7, 'B-BRAND']]
дыька крекер;[[0, 5, 'B-BRAND'], [6, 12, 'B-TYPE']]
дыька крекеры;[[0, 5, 'B-BRAND'], [6, 13, 'B-TYPE']]
дмыов сыровялен;[[0, 5, 'B-BRAND'], [6, 15, 'B-TYPE']]
дмыов сыровяленые;[[0, 5, 'B-BRAND'], [6, 17, 'B-TYPE']]
дэмеа паштет;[[0, 5, 'B-BRAND'], [6, 12, 'B-TYPE']]
дшюес;[[0, 5, 'B-BRAND']]
дшюес красная цена;[[0, 5, 'B-BRAND'], [6, 13, 'B-BRAND'], [14, 18, 'I-BRAND']]
ддя ваня;[[0, 3, 'B-BRAND'], [4, 8, 'I-BRAND']]
еа;[[0, 2, 'B-BRAND']]
евопром;[[0, 7, 'B-BRAND']]
еглрьевское сажен;[[0, 11, 'B-BRAND'], [12, 17, 'B-TYPE']]
еглрьевское сажене;[[0, 11, 'B-BRAND'], [12, 18, 'B-TYPE']]
еелецкая;[[0, 8, 'B-BRAND']]
елекций;[[0, 7, 'B-BRAND']]
елочкаа виногр;[[0, 7, 'B-BRAND'], [8, 14, 'B-TYPE']]
ек капус;[[0, 2, 'B-BRAND'], [3, 8, 'B-TYPE']]
ек капуст;[[0, 2, 'B-BRAND'], [3, 9, 'B-TYPE']]
еентук;[[0, 6, 'B-BRAND']]
если tchiboo;[[0, 4, 'O'], [5, 12, 'B-BRAND']]
если фамиьлные;[[0, 4, 'O'], [5, 14, 'B-BRAND']]
еысенту;[[0, 7, 'B-BRAND']]
желатин cyokr;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
желатин ccykori;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
желатин dr.baer;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
желатин sicexpe;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
желе ато;[[0, 4, 'B-TYPE'], [5, 8, 'B-BRAND']]
желе лфтон;[[0, 4, 'B-TYPE'], [5, 10, 'B-BRAND']]
желе латлна;[[0, 4, 'B-TYPE'], [5, 11, 'B-BRAND']]
желе рлстагроэкспо;[[0, 4, 'B-TYPE'], [5, 18, 'B-BRAND']]
желе ростагрэокспор;[[0, 4, 'B-TYPE'], [5, 19, 'B-BRAND']]
желе ростагроэкспрот;[[0, 4, 'B-TYPE'], [5, 20, 'B-BRAND']]
жлезногорский пряни;[[0, 13, 'B-BRAND'], [14, 19, 'B-TYPE']]
жлезногорский пряник;[[0, 13, 'B-BRAND'], [14, 20, 'B-TYPE']]
ежлен варени;[[0, 5, 'B-BRAND'], [6, 12, 'B-TYPE']]
ежлен вареник;[[0, 5, 'B-BRAND'], [6, 13, 'B-TYPE']]
жигуевское;[[0, 10, 'B-BRAND']]
жкей;[[0, 4, 'B-BRAND']]
жуиков сал;[[0, 6, 'B-BRAND'], [7, 10, 'B-TYPE']]
жуиков сало;[[0, 6, 'B-BRAND'], [7, 11, 'B-TYPE']]
журнал braat;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
журнал ratz;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
журналы уммк;[[0, 7, 'B-TYPE'], [8, 12, 'B-BRAND']]
завтрак белил;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
завтрак ебллин;[[0, 7, 'B-TYPE'], [8, 14, 'B-BRAND']]
завтра хрутка шоколадный;[[0, 6, 'B-BRAND'], [7, 13, 'I-BRAND'], [14, 24, 'I-BRAND']]
завтраки marcфи;[[0, 8, 'B-TYPE'], [9, 15, 'B-BRAND']]
завтраки marc&фиис;[[0, 8, 'B-TYPE'], [9, 18, 'B-BRAND']]
завтраки marcфиса;[[0, 8, 'B-TYPE'], [9, 17, 'B-BRAND']]
завтраки белил;[[0, 8, 'B-TYPE'], [9, 14, 'B-BRAND']]
завтраки ебллин;[[0, 8, 'B-TYPE'], [9, 15, 'B-BRAND']]
завтраки васэт;[[0, 8, 'B-TYPE'], [9, 14, 'B-BRAND']]
завтраки австэк;[[0, 8, 'B-TYPE'], [9, 15, 'B-BRAND']]
зажигалка polar;[[0, 9, 'B-TYPE'], [10, 15, 'B-BRAND']]
зажигалки biic;[[0, 9, 'B-TYPE'], [10, 14, 'B-BRAND']]
зажигалки tescco;[[0, 9, 'B-TYPE'], [10, 16, 'B-BRAND']]
зажигалки tescoom;[[0, 9, 'B-TYPE'], [10, 17, 'B-BRAND']]
зажигалки tesscoma;[[0, 9, 'B-TYPE'], [10, 18, 'B-BRAND']]
зажигалки перкресто;[[0, 9, 'B-TYPE'], [10, 19, 'B-BRAND']]
заливное дброд;[[0, 8, 'B-TYPE'], [9, 14, 'B-BRAND']]
заливное оброде;[[0, 8, 'B-TYPE'], [9, 15, 'B-BRAND']]
заливное холлодуш;[[0, 8, 'B-TYPE'], [9, 17, 'B-BRAND']]
заливное олодушк;[[0, 8, 'B-TYPE'], [9, 16, 'B-BRAND']]
заливной ск;[[0, 8, 'B-TYPE'], [9, 11, 'B-BRAND']]
заливные афанааси;[[0, 8, 'B-TYPE'], [9, 17, 'B-BRAND']]
заливные аафнасий;[[0, 8, 'B-TYPE'], [9, 17, 'B-BRAND']]
заливные окри;[[0, 8, 'B-TYPE'], [9, 13, 'B-BRAND']]
заливные окраиин;[[0, 8, 'B-TYPE'], [9, 16, 'B-BRAND']]
заливные окраинф;[[0, 8, 'B-TYPE'], [9, 16, 'B-BRAND']]
запеченное тор;[[0, 10, 'B-TYPE'], [11, 14, 'B-BRAND']]
запеченное тлрес;[[0, 10, 'B-TYPE'], [11, 16, 'B-BRAND']]
запеченные амарф;[[0, 10, 'B-TYPE'], [11, 16, 'B-BRAND']]
запеченные фмаран;[[0, 10, 'B-TYPE'], [11, 17, 'B-BRAND']]
запеченные болььшемясо;[[0, 10, 'B-TYPE'], [11, 22, 'B-BRAND']]
запеченные то;[[0, 10, 'B-TYPE'], [11, 13, 'B-BRAND']]
запеченные тлрес;[[0, 10, 'B-TYPE'], [11, 16, 'B-BRAND']]
затейниеи конструктор;[[0, 9, 'B-BRAND'], [10, 21, 'B-TYPE']]
затейниеи конструкторо;[[0, 9, 'B-BRAND'], [10, 22, 'B-TYPE']]
звездтое;[[0, 8, 'B-BRAND']]
драва сосуы;[[0, 5, 'B-BRAND'], [6, 11, 'B-TYPE']]
зеленый чай липтно;[[0, 7, 'B-TYPE'], [8, 11, 'B-TYPE'], [12, 18, 'B-BRAND']]
зельц агрокомлпе;[[0, 5, 'B-TYPE'], [6, 16, 'B-BRAND']]
зельц агрокомпелк;[[0, 5, 'B-TYPE'], [6, 17, 'B-BRAND']]
зельцы уроа;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
зельцы уржай;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
зефира ека;[[0, 6, 'B-TYPE'], [7, 10, 'B-BRAND']]
зефира пекфр;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
зефира пеакрь;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
зефира ыладо;[[0, 6, 'B-TYPE'], [7, 12, 'B-BRAND']]
зефира лсадоя;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
зллотая семечка;[[0, 7, 'B-BRAND'], [8, 15, 'I-BRAND']]
золотйо ключик;[[0, 7, 'B-BRAND'], [8, 14, 'I-BRAND']]
золуушка кр;[[0, 8, 'B-BRAND'], [9, 11, 'B-TYPE']]
золуушка кре;[[0, 8, 'B-BRAND'], [9, 12, 'B-TYPE']]
знт зонтик;[[0, 3, 'B-BRAND'], [4, 10, 'B-TYPE']]
зонтик dis;[[0, 6, 'B-TYPE'], [7, 10, 'B-BRAND']]
зонтик disnee;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
зонтик sl;[[0, 6, 'B-TYPE'], [7, 9, 'B-BRAND']]
зонтик гла;[[0, 6, 'B-TYPE'], [7, 10, 'B-BRAND']]
зонтик галн;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
зонты it;[[0, 5, 'B-TYPE'], [6, 8, 'B-BRAND']]
зонты ciyt;[[0, 5, 'B-TYPE'], [6, 10, 'B-BRAND']]
зонты city;[[0, 5, 'B-TYPE'], [6, 10, 'B-BRAND']]
зонты dis;[[0, 5, 'B-TYPE'], [6, 9, 'B-BRAND']]
зонты raindroo;[[0, 5, 'B-TYPE'], [6, 14, 'B-BRAND']]
зонты raaindrops;[[0, 5, 'B-TYPE'], [6, 16, 'B-BRAND']]
зонты ssilv;[[0, 5, 'B-TYPE'], [6, 11, 'B-BRAND']]
зооо мис;[[0, 4, 'B-BRAND'], [5, 8, 'B-TYPE']]
зооо мисо;[[0, 4, 'B-BRAND'], [5, 9, 'B-TYPE']]
зубочистка ррусалоч;[[0, 10, 'B-TYPE'], [11, 19, 'B-BRAND']]
зубочистка русаллочка;[[0, 10, 'B-TYPE'], [11, 21, 'B-BRAND']]
зубочистка чстю;[[0, 10, 'B-TYPE'], [11, 15, 'B-BRAND']]
зубочистка чистюял;[[0, 10, 'B-TYPE'], [11, 18, 'B-BRAND']]
зубочистки ecles;[[0, 10, 'B-TYPE'], [11, 16, 'B-BRAND']]
зубочистки ррусалоч;[[0, 10, 'B-TYPE'], [11, 19, 'B-BRAND']]
зубочистки усалочк;[[0, 10, 'B-TYPE'], [11, 18, 'B-BRAND']]
игрушка уумка;[[0, 7, 'B-TYPE'], [8, 13, 'B-BRAND']]
игрушки uinc-to;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND']]
ижмолок;[[0, 7, 'B-BRAND']]
ильиноогорское кто-нибудь;[[0, 14, 'B-BRAND'], [15, 25, 'O']]
имбирь koan;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
имбирь инан;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND']]
имбирь инданаа;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
имбиря sonnet;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
имбиря прпирав;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
иммнуел;[[0, 7, 'B-BRAND']]
иммунее;[[0, 7, 'B-BRAND']]
иммунлеь;[[0, 8, 'B-BRAND']]
миперия;[[0, 7, 'B-BRAND']]
имепрская;[[0, 9, 'B-BRAND']]
иьунеле;[[0, 7, 'B-BRAND']]
имуелли;[[0, 7, 'B-BRAND']]
иунель;[[0, 6, 'B-BRAND']]
инданаа имбирь;[[0, 7, 'B-BRAND'], [8, 14, 'B-TYPE']]
индейка мяясная ферма;[[0, 7, 'B-TYPE'], [8, 15, 'B-BRAND'], [16, 21, 'I-BRAND']]
ииндила;[[0, 7, 'B-BRAND']]
инеткс подсвечни;[[0, 6, 'B-BRAND'], [7, 16, 'B-TYPE']]
инеткс подсвечники;[[0, 6, 'B-BRAND'], [7, 18, 'B-TYPE']]
ирбштское;[[0, 9, 'B-BRAND']]
ирис ека;[[0, 4, 'B-TYPE'], [5, 8, 'B-BRAND']]
ирис пекфр;[[0, 4, 'B-TYPE'], [5, 10, 'B-BRAND']]
ирис пеакрь;[[0, 4, 'B-TYPE'], [5, 11, 'B-BRAND']]
ирис рсоси;[[0, 4, 'B-TYPE'], [5, 10, 'B-BRAND']]
ирис лсавян;[[0, 4, 'B-TYPE'], [5, 11, 'B-BRAND']]
ирис ылавянк;[[0, 4, 'B-TYPE'], [5, 12, 'B-BRAND']]
ирис слфвянка;[[0, 4, 'B-TYPE'], [5, 13, 'B-BRAND']]
иремнь;[[0, 6, 'B-BRAND']]
иуак;[[0, 4, 'B-BRAND']]
йогурт акитбио;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND']]
йогурт виолла манго;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND'], [14, 19, 'I-BRAND']]
йогурт дансиимо фантазия;[[0, 6, 'B-TYPE'], [7, 15, 'B-BRAND'], [16, 24, 'I-BRAND']]
йогурт аниссимо;[[0, 6, 'B-TYPE'], [7, 15, 'B-BRAND']]
йогурт зоолтый луга;[[0, 6, 'B-TYPE'], [7, 14, 'B-BRAND'], [15, 19, 'I-BRAND']]
йогурт питьевой коровкаа;[[0, 6, 'B-TYPE'], [7, 15, 'I-TYPE'], [16, 24, 'B-BRAND']]
йогурт трри кота;[[0, 6, 'B-TYPE'], [7, 11, 'B-BRAND'], [12, 16, 'I-BRAND']]
йогурт фрутонняня клубника;[[0, 6, 'B-TYPE'], [7, 17, 'B-BRAND'], [18, 26, 'I-BRAND']]
йогурт ццарка;[[0, 6, 'B-TYPE'], [7, 13, 'B-BRAND']]
